id,topic,source_lang,original_text,cleaned_original_text,matched_terms,user_prompt,assistant_target
129,Web Development,fr,Un composant UI est une partie réutilisable de l'interface utilisateur.,Un composant UI est une partie réutilisable de l'interface utilisateur.,interface utilisateur=واجهة المستخدم,"Rewrite the following IT explanation in simple, clear, correct Arabic for Moroccan learners. Preserve the meaning and avoid mixing languages.

Use the following Arabic technical terminology when relevant:
- interface utilisateur = واجهة المستخدم

Text:
Un composant UI est une partie réutilisable de l'interface utilisateur.",مكون واجهة المستخدم هو جزء يمكن إعادة استعماله في الواجهة.
145,Cloud Computing Fundamentals,ar,يساعد التخزين الموزع على حفظ البيانات في عدة مواقع.,يساعد التخزين الموزع على حفظ données في plusieurs مواقع.,,"Rewrite the following IT explanation in simple, clear, correct Arabic for Moroccan learners. Preserve the meaning and avoid mixing languages.

Text:
يساعد التخزين الموزع على حفظ données في plusieurs مواقع.",التخزين الموزع يحفظ البيانات عبر عدة خوادم.
92,Databases,fr,Une clé étrangère permet de créer une relation entre deux tables.,Une clé étrangère permet de créer une relation entre deux tables.,table=جدول | clé étrangère=مفتاح خارجي,"Rewrite the following IT explanation in simple, clear, correct Arabic for Moroccan learners. Preserve the meaning and avoid mixing languages.

Use the following Arabic technical terminology when relevant:
- table = جدول
- clé étrangère = مفتاح خارجي

Text:
Une clé étrangère permet de créer une relation entre deux tables.",المفتاح الخارجي يربط جدولًا بجدول آخر في قاعدة البيانات.
33,Operating Systems,ar,تُستخدم إدارة الذاكرة لتخصيص المساحات اللازمة للبرامج ومراقبة استعمالها.,تُستخدم إدارة الذاكرة لتخصيص المساحات اللازمة للبرامج ومراقبة استعمالها.,,"Rewrite the following IT explanation in simple, clear, correct Arabic for Moroccan learners. Preserve the meaning and avoid mixing languages.

Text:
تُستخدم إدارة الذاكرة لتخصيص المساحات اللازمة للبرامج ومراقبة استعمالها.",إدارة الذاكرة تعني توزيع مساحة الذاكرة على البرامج ومتابعة استعمالها.
8,Object-Oriented Programming,fr,L'héritage permet à une classe d'acquérir les propriétés et les méthodes d'une autre classe afin de favoriser la réutilisation du code.,L'héritage permet à une classe d'acquérir les propriétés et les méthodes d'une autre classe afin de favoriser la réutilisation du code.,méthode=دالة | classe=صنف | héritage=وراثة,"Rewrite the following IT explanation in simple, clear, correct Arabic for Moroccan learners. Preserve the meaning and avoid mixing languages.

Use the following Arabic technical terminology when relevant:
- méthode = دالة
- classe = صنف
- héritage = وراثة

Text:
L'héritage permet à une classe d'acquérir les propriétés et les méthodes d'une autre classe afin de favoriser la réutilisation du code.",الوراثة تعني أن صنفًا جديدًا يمكنه الاستفادة من الخصائص والوظائف الموجودة في صنف آخر، وهذا يساعد على إعادة استعمال الكود.
94,Databases,fr,Les procédures stockées permettent d'exécuter des opérations SQL complexes côté serveur.,Les procédures stockées permettent d'exécuter des opérations SQL complexes côté serveur.,serveur=خادم | serveurs=خوادم,"Rewrite the following IT explanation in simple, clear, correct Arabic for Moroccan learners. Preserve the meaning and avoid mixing languages.

Use the following Arabic technical terminology when relevant:
- serveur = خادم
- serveurs = خوادم

Text:
Les procédures stockées permettent d'exécuter des opérations SQL complexes côté serveur.",الإجراءات المخزنة هي أوامر SQL محفوظة في الخادم لتنفيذ عمليات معقدة.
35,Operating Systems,ar,يُستعمل الجدولة لتحديد ترتيب تنفيذ العمليات داخل المعالج.,يُستعمل الجدولة لتحديد ترتيب تنفيذ العمليات داخل المعالج.,,"Rewrite the following IT explanation in simple, clear, correct Arabic for Moroccan learners. Preserve the meaning and avoid mixing languages.

Text:
يُستعمل الجدولة لتحديد ترتيب تنفيذ العمليات داخل المعالج.",الجدولة تعني تحديد أي عملية ستعمل أولًا داخل المعالج.
148,Algorithms,ar,تساعد خوارزميات البحث على إيجاد عنصر داخل البيانات.,تساعد خوارزميات البحث على إيجاد عنصر داخل البيانات.,,"Rewrite the following IT explanation in simple, clear, correct Arabic for Moroccan learners. Preserve the meaning and avoid mixing languages.

Text:
تساعد خوارزميات البحث على إيجاد عنصر داخل البيانات.",خوارزميات البحث تُستخدم للعثور على عنصر داخل مجموعة بيانات.
44,Cybersecurity Basics,fr,L'authentification multifacteur renforce la sécurité en exigeant plusieurs preuves d'identité.,L'authentification multifacteur renforce la sécurité en exigeant plusieurs preuves d'identité.,authentification=مصادقة,"Rewrite the following IT explanation in simple, clear, correct Arabic for Moroccan learners. Preserve the meaning and avoid mixing languages.

Use the following Arabic technical terminology when relevant:
- authentification = مصادقة

Text:
L'authentification multifacteur renforce la sécurité en exigeant plusieurs preuves d'identité.",المصادقة متعددة العوامل تزيد الأمان لأنها تطلب أكثر من طريقة لإثبات الهوية.
64,Networking,fr,La bande passante représente la quantité de données pouvant être transmise sur un réseau.,La bande passante représente la quantité de données pouvant être transmise sur un réseau.,réseau=شبكة | bande passante=عرض النطاق,"Rewrite the following IT explanation in simple, clear, correct Arabic for Moroccan learners. Preserve the meaning and avoid mixing languages.

Use the following Arabic technical terminology when relevant:
- réseau = شبكة
- bande passante = عرض النطاق

Text:
La bande passante représente la quantité de données pouvant être transmise sur un réseau.",عرض النطاق يشير إلى كمية البيانات التي يمكن إرسالها عبر الشبكة.
13,Algorithms,fr,"La recherche binaire réduit l'espace de recherche de moitié à chaque étape, à condition que les données soient triées.","La recherche binaire réduit l'espace de recherche de moitié à chaque étape, à condition que les données soient triées.",,"Rewrite the following IT explanation in simple, clear, correct Arabic for Moroccan learners. Preserve the meaning and avoid mixing languages.

Text:
La recherche binaire réduit l'espace de recherche de moitié à chaque étape, à condition que les données soient triées.",البحث الثنائي يقسم مجال البحث إلى نصفين في كل مرة، لكنه يحتاج إلى بيانات مرتبة.
62,Networking,fr,Le protocole HTTP est utilisé pour transférer les pages web entre le serveur et le navigateur.,Le protocole HTTP est utilisé pour transférer les pages web entre le serveur et le navigateur.,serveur=خادم | protocole=بروتوكول | page web=صفحة ويب | navigateur=متصفح | serveur web=خادم ويب | serveurs=خوادم,"Rewrite the following IT explanation in simple, clear, correct Arabic for Moroccan learners. Preserve the meaning and avoid mixing languages.

Use the following Arabic technical terminology when relevant:
- serveur = خادم
- protocole = بروتوكول
- page web = صفحة ويب
- navigateur = متصفح
- serveur web = خادم ويب
- serveurs = خوادم

Text:
Le protocole HTTP est utilisé pour transférer les pages web entre le serveur et le navigateur.",بروتوكول HTTP يستخدم لنقل صفحات الويب بين الخادم والمتصفح.
26,Networking,fr,Le modèle OSI divise les communications réseau en plusieurs couches afin de faciliter la compréhension et la conception des réseaux.,Le modèle OSI divise les communications réseau en plusieurs couches afin de faciliter la compréhension et la conception des réseaux.,réseau=شبكة,"Rewrite the following IT explanation in simple, clear, correct Arabic for Moroccan learners. Preserve the meaning and avoid mixing languages.

Use the following Arabic technical terminology when relevant:
- réseau = شبكة

Text:
Le modèle OSI divise les communications réseau en plusieurs couches afin de faciliter la compréhension et la conception des réseaux.",نموذج OSI يقسم الاتصال في الشبكات إلى طبقات، حتى يسهل فهم الشبكات وتصميمها.
110,Software Engineering,ar,تساعد المراجعة البرمجية على تحسين جودة الكود.,تساعد المراجعة البرمجية على تحسين جودة الكود.,,"Rewrite the following IT explanation in simple, clear, correct Arabic for Moroccan learners. Preserve the meaning and avoid mixing languages.

Text:
تساعد المراجعة البرمجية على تحسين جودة الكود.",مراجعة الكود تسمح للمطورين باكتشاف الأخطاء وتحسين الجودة.
127,Web Development,fr,La réponse HTTP contient les données demandées par le client.,La réponse HTTP contient les données demandées par le client.,client=عميل | réponse HTTP=استجابة HTTP,"Rewrite the following IT explanation in simple, clear, correct Arabic for Moroccan learners. Preserve the meaning and avoid mixing languages.

Use the following Arabic technical terminology when relevant:
- client = عميل
- réponse HTTP = استجابة HTTP

Text:
La réponse HTTP contient les données demandées par le client.",استجابة HTTP تحتوي على البيانات التي طلبها العميل.
22,Web Development,fr,"CSS est utilisé pour contrôler la présentation visuelle d'une page web, comme les couleurs, les marges et les polices.","CSS est utilisé pour contrôler la présentation visuelle d'une page web, comme les couleurs, les marges et les polices.",page web=صفحة ويب,"Rewrite the following IT explanation in simple, clear, correct Arabic for Moroccan learners. Preserve the meaning and avoid mixing languages.

Use the following Arabic technical terminology when relevant:
- page web = صفحة ويب

Text:
CSS est utilisé pour contrôler la présentation visuelle d'une page web, comme les couleurs, les marges et les polices.",CSS تستعمل لتغيير شكل صفحة الويب، مثل الألوان والخطوط والمسافات.
126,Web Development,fr,Une requête HTTP est envoyée par le navigateur pour demander une ressource au serveur.,Une requête HTTP est envoyée par le navigateur pour demander une ressource au serveur.,requête=استعلام | serveur=خادم | navigateur=متصفح | serveur web=خادم ويب | requête HTTP=طلب HTTP | serveurs=خوادم,"Rewrite the following IT explanation in simple, clear, correct Arabic for Moroccan learners. Preserve the meaning and avoid mixing languages.

Use the following Arabic technical terminology when relevant:
- requête = استعلام
- serveur = خادم
- navigateur = متصفح
- serveur web = خادم ويب
- requête HTTP = طلب HTTP
- serveurs = خوادم

Text:
Une requête HTTP est envoyée par le navigateur pour demander une ressource au serveur.",طلب HTTP يرسله المتصفح للحصول على مورد من الخادم.
73,Cloud Computing Fundamentals,ar,يُستخدم التخزين السحابي لحفظ الملفات على خوادم عبر الإنترنت.,يُستخدم التخزين السحابي لحفظ الملفات على serveurs à travers Internet.,file=طابور | serveur=خادم | internet=الإنترنت | serveurs=خوادم,"Rewrite the following IT explanation in simple, clear, correct Arabic for Moroccan learners. Preserve the meaning and avoid mixing languages.

Use the following Arabic technical terminology when relevant:
- file = طابور
- serveur = خادم
- internet = الإنترنت
- serveurs = خوادم

Text:
يُستخدم التخزين السحابي لحفظ الملفات على serveurs à travers Internet.",التخزين السحابي يسمح بحفظ الملفات على الإنترنت بدل الجهاز المحلي.
109,Software Engineering,fr,Un commit enregistre un ensemble de modifications dans le projet.,Un commit enregistre un ensemble de modifications dans le projet.,commit=تثبيت تغييرات,"Rewrite the following IT explanation in simple, clear, correct Arabic for Moroccan learners. Preserve the meaning and avoid mixing languages.

Use the following Arabic technical terminology when relevant:
- commit = تثبيت تغييرات

Text:
Un commit enregistre un ensemble de modifications dans le projet.",الالتزام في Git يسجل مجموعة من التغييرات في المشروع.
19,Databases,fr,La normalisation vise à réduire la redondance des données et à améliorer la cohérence dans la base de données.,La normalisation vise à réduire la redondance des données et à améliorer la cohérence dans la base de données.,base de données=قاعدة بيانات | normalisation=تطبيع,"Rewrite the following IT explanation in simple, clear, correct Arabic for Moroccan learners. Preserve the meaning and avoid mixing languages.

Use the following Arabic technical terminology when relevant:
- base de données = قاعدة بيانات
- normalisation = تطبيع

Text:
La normalisation vise à réduire la redondance des données et à améliorer la cohérence dans la base de données.",التطبيع يهدف إلى تقليل تكرار البيانات وتحسين تنظيمها داخل قاعدة البيانات.
90,Cybersecurity Basics,ar,يُستخدم التحقق الثنائي لزيادة أمان حساب المستخدم.,يُستخدم التحقق الثنائي لزيادة أمان حساب المستخدم.,,"Rewrite the following IT explanation in simple, clear, correct Arabic for Moroccan learners. Preserve the meaning and avoid mixing languages.

Text:
يُستخدم التحقق الثنائي لزيادة أمان حساب المستخدم.",التحقق الثنائي يضيف خطوة إضافية للتأكد من هوية المستخدم.
83,Operating Systems,ar,تسمح إدارة العمليات بتنظيم تشغيل البرامج داخل النظام.,تسمح إدارة العمليات بتنظيم تشغيل البرامج داخل النظام.,,"Rewrite the following IT explanation in simple, clear, correct Arabic for Moroccan learners. Preserve the meaning and avoid mixing languages.

Text:
تسمح إدارة العمليات بتنظيم تشغيل البرامج داخل النظام.",إدارة العمليات تنظم كيفية تشغيل البرامج داخل النظام.
149,Algorithms,fr,La programmation dynamique résout un problème en sous-problèmes.,La programmation dynamique résout un problème en sous-problèmes.,,"Rewrite the following IT explanation in simple, clear, correct Arabic for Moroccan learners. Preserve the meaning and avoid mixing languages.

Text:
La programmation dynamique résout un problème en sous-problèmes.",البرمجة الديناميكية تحل المشكلة عبر تقسيمها إلى مشاكل أصغر.
85,Operating Systems,ar,تُستخدم المقاطعات لإعلام المعالج بحدوث حدث معين.,تُستخدم المقاطعات لإعلام المعالج بحدوث حدث معين.,,"Rewrite the following IT explanation in simple, clear, correct Arabic for Moroccan learners. Preserve the meaning and avoid mixing languages.

Text:
تُستخدم المقاطعات لإعلام المعالج بحدوث حدث معين.",المقاطعة هي إشارة تخبر المعالج بحدوث حدث يحتاج إلى معالجة.
104,Networking,fr,Un ping permet de vérifier si un appareil est accessible sur le réseau.,Un ping permet de vérifier si un appareil est accessible sur le réseau.,réseau=شبكة,"Rewrite the following IT explanation in simple, clear, correct Arabic for Moroccan learners. Preserve the meaning and avoid mixing languages.

Use the following Arabic technical terminology when relevant:
- réseau = شبكة

Text:
Un ping permet de vérifier si un appareil est accessible sur le réseau.",أمر ping يستخدم لمعرفة ما إذا كان الجهاز متصلًا بالشبكة.
131,Networking,fr,Le protocole HTTPS sécurise la communication entre le navigateur et le serveur.,Le protocole HTTPS sécurise la communication entre le navigateur et le serveur.,serveur=خادم | protocole=بروتوكول | navigateur=متصفح | serveur web=خادم ويب | serveurs=خوادم,"Rewrite the following IT explanation in simple, clear, correct Arabic for Moroccan learners. Preserve the meaning and avoid mixing languages.

Use the following Arabic technical terminology when relevant:
- serveur = خادم
- protocole = بروتوكول
- navigateur = متصفح
- serveur web = خادم ويب
- serveurs = خوادم

Text:
Le protocole HTTPS sécurise la communication entre le navigateur et le serveur.",HTTPS يؤمن الاتصال بين المتصفح والخادم باستخدام التشفير.
146,Algorithms,fr,Un arbre binaire est une structure de données composée de nœuds.,Un arbre binaire est une structure de données composée de nœuds.,structure de données=هيكل بيانات | arbre=شجرة,"Rewrite the following IT explanation in simple, clear, correct Arabic for Moroccan learners. Preserve the meaning and avoid mixing languages.

Use the following Arabic technical terminology when relevant:
- structure de données = هيكل بيانات
- arbre = شجرة

Text:
Un arbre binaire est une structure de données composée de nœuds.",الشجرة الثنائية هي هيكل بيانات يتكون من عقد.
32,Operating Systems,fr,Un processus est un programme en cours d'exécution avec son propre état et ses ressources.,Un processus est un programme en cours d'exécution avec son propre état et ses ressources.,programme=برنامج | exécution=تنفيذ | processus=عملية,"Rewrite the following IT explanation in simple, clear, correct Arabic for Moroccan learners. Preserve the meaning and avoid mixing languages.

Use the following Arabic technical terminology when relevant:
- programme = برنامج
- exécution = تنفيذ
- processus = عملية

Text:
Un processus est un programme en cours d'exécution avec son propre état et ses ressources.",العملية هي برنامج يشتغل حاليًا وله حالته وموارده الخاصة.
2,Programming Fundamentals,fr,Une boucle permet d'exécuter plusieurs fois le même bloc d'instructions tant qu'une condition est vérifiée.,Une boucle permet d'exécuter plusieurs fois le même bloc d'instructions tant qu'une condition est vérifiée.,,"Rewrite the following IT explanation in simple, clear, correct Arabic for Moroccan learners. Preserve the meaning and avoid mixing languages.

Text:
Une boucle permet d'exécuter plusieurs fois le même bloc d'instructions tant qu'une condition est vérifiée.",الحلقة تسمح بتكرار نفس الأوامر عدة مرات ما دام الشرط صحيحًا.
48,Cloud Computing Fundamentals,fr,Le SaaS permet aux utilisateurs d'accéder à des logiciels hébergés en ligne à travers un navigateur ou une application.,Le SaaS permet aux utilisateurs d'accéder à des logiciels hébergés en ligne à travers un navigateur ou une application.,navigateur=متصفح,"Rewrite the following IT explanation in simple, clear, correct Arabic for Moroccan learners. Preserve the meaning and avoid mixing languages.

Use the following Arabic technical terminology when relevant:
- navigateur = متصفح

Text:
Le SaaS permet aux utilisateurs d'accéder à des logiciels hébergés en ligne à travers un navigateur ou une application.",SaaS يسمح باستعمال برامج موجودة على الإنترنت عبر المتصفح أو التطبيق.
11,Algorithms,fr,Un algorithme est une suite finie d'étapes ordonnées permettant de résoudre un problème donné.,Un algorithme est une suite finie d'étapes ordonnées permettant de résoudre un problème donné.,algorithme=خوارزمية,"Rewrite the following IT explanation in simple, clear, correct Arabic for Moroccan learners. Preserve the meaning and avoid mixing languages.

Use the following Arabic technical terminology when relevant:
- algorithme = خوارزمية

Text:
Un algorithme est une suite finie d'étapes ordonnées permettant de résoudre un problème donné.",الخوارزمية هي مجموعة خطوات مرتبة ومحددة لحل مشكلة معينة.
5,Programming Fundamentals,ar,يُعد نوع البيانات عنصرًا أساسيًا يحدد طبيعة القيم التي يمكن تخزينها في المتغيرات.,يُعد نوع données عنصرًا أساسيًا يحدد طبيعة القيم التي يمكن تخزينها في المتغيرات.,variable=متغير,"Rewrite the following IT explanation in simple, clear, correct Arabic for Moroccan learners. Preserve the meaning and avoid mixing languages.

Use the following Arabic technical terminology when relevant:
- variable = متغير

Text:
يُعد نوع données عنصرًا أساسيًا يحدد طبيعة القيم التي يمكن تخزينها في المتغيرات.",نوع البيانات يحدد نوع القيم التي يمكن حفظها داخل المتغير.
6,Object-Oriented Programming,fr,"En programmation orientée objet, une classe sert de modèle pour créer des objets partageant les mêmes propriétés et comportements.","En programmation orientée objet, une classe sert de modèle pour créer des objets partageant les mêmes propriétés et comportements.",classe=صنف | objet=كائن,"Rewrite the following IT explanation in simple, clear, correct Arabic for Moroccan learners. Preserve the meaning and avoid mixing languages.

Use the following Arabic technical terminology when relevant:
- classe = صنف
- objet = كائن

Text:
En programmation orientée objet, une classe sert de modèle pour créer des objets partageant les mêmes propriétés et comportements.",في البرمجة كائنية التوجه، الصنف هو قالب نستعمله لإنشاء كائنات لها نفس الخصائص والوظائف.
108,Software Engineering,ar,يسمح الدمج بدمج التغييرات من فرع إلى آخر.,يسمح الدمج بدمج التغييرات من فرع إلى آخر.,,"Rewrite the following IT explanation in simple, clear, correct Arabic for Moroccan learners. Preserve the meaning and avoid mixing languages.

Text:
يسمح الدمج بدمج التغييرات من فرع إلى آخر.",الدمج يجمع التغييرات من فرعين مختلفين في المشروع.
111,Cloud Computing Fundamentals,fr,Une machine virtuelle simule un ordinateur complet dans le cloud.,Une machine virtuelle simule un ordinateur complet dans le cloud.,machine virtuelle=آلة افتراضية,"Rewrite the following IT explanation in simple, clear, correct Arabic for Moroccan learners. Preserve the meaning and avoid mixing languages.

Use the following Arabic technical terminology when relevant:
- machine virtuelle = آلة افتراضية

Text:
Une machine virtuelle simule un ordinateur complet dans le cloud.",الآلة الافتراضية تمثل حاسوبًا يعمل داخل بيئة سحابية.
82,Operating Systems,fr,Le noyau est la partie centrale du système d'exploitation.,Le noyau est la partie centrale du système d'exploitation.,système d'exploitation=نظام تشغيل,"Rewrite the following IT explanation in simple, clear, correct Arabic for Moroccan learners. Preserve the meaning and avoid mixing languages.

Use the following Arabic technical terminology when relevant:
- système d'exploitation = نظام تشغيل

Text:
Le noyau est la partie centrale du système d'exploitation.",النواة هي الجزء الأساسي الذي يتحكم في عمل نظام التشغيل.
125,Databases,ar,تُستخدم الدوال التجميعية لحساب القيم مثل المجموع أو المتوسط.,تُستخدم الدوال التجميعية لحساب القيم مثل المجموع أو المتوسط.,,"Rewrite the following IT explanation in simple, clear, correct Arabic for Moroccan learners. Preserve the meaning and avoid mixing languages.

Text:
تُستخدم الدوال التجميعية لحساب القيم مثل المجموع أو المتوسط.",الدوال التجميعية تحسب قيمًا مثل المجموع أو المتوسط.
38,Software Engineering,ar,تساعد متطلبات النظام على تحديد ما يجب أن يفعله البرنامج قبل بدء التطوير.,تساعد متطلبات النظام على تحديد ما يجب أن يفعله البرنامج قبل بدء التطوير.,,"Rewrite the following IT explanation in simple, clear, correct Arabic for Moroccan learners. Preserve the meaning and avoid mixing languages.

Text:
تساعد متطلبات النظام على تحديد ما يجب أن يفعله البرنامج قبل بدء التطوير.",متطلبات النظام توضح ما الذي يجب أن ينجزه البرنامج قبل أن نبدأ تطويره.
68,Software Engineering,ar,تساعد اختبارات التكامل على التأكد من أن أجزاء النظام تعمل معًا بشكل صحيح.,تساعد اختبارات التكامل على التأكد من أن أجزاء النظام تعمل معًا بشكل صحيح.,,"Rewrite the following IT explanation in simple, clear, correct Arabic for Moroccan learners. Preserve the meaning and avoid mixing languages.

Text:
تساعد اختبارات التكامل على التأكد من أن أجزاء النظام تعمل معًا بشكل صحيح.",اختبارات التكامل تتحقق من أن مكونات النظام تعمل معًا بشكل صحيح.
76,Algorithms,fr,Un tri par insertion construit la liste triée en insérant chaque élément à sa position correcte.,Un tri par insertion construit la liste triée en insérant chaque élément à sa position correcte.,liste=قائمة,"Rewrite the following IT explanation in simple, clear, correct Arabic for Moroccan learners. Preserve the meaning and avoid mixing languages.

Use the following Arabic technical terminology when relevant:
- liste = قائمة

Text:
Un tri par insertion construit la liste triée en insérant chaque élément à sa position correcte.",خوارزمية الإدراج ترتب العناصر بإضافة كل عنصر في مكانه الصحيح.
28,Networking,fr,Le routage consiste à choisir le chemin que suivent les paquets de données pour atteindre leur destination.,Le routage consiste à choisir le chemin que suivent les paquets de données pour atteindre leur destination.,paquet=حزمة,"Rewrite the following IT explanation in simple, clear, correct Arabic for Moroccan learners. Preserve the meaning and avoid mixing languages.

Use the following Arabic technical terminology when relevant:
- paquet = حزمة

Text:
Le routage consiste à choisir le chemin que suivent les paquets de données pour atteindre leur destination.",التوجيه هو اختيار المسار الذي تسلكه البيانات حتى تصل إلى وجهتها.
135,Networking,ar,يساعد VPN على إنشاء اتصال آمن عبر الإنترنت.,يساعد VPN على إنشاء اتصال آمن à travers Internet.,internet=الإنترنت,"Rewrite the following IT explanation in simple, clear, correct Arabic for Moroccan learners. Preserve the meaning and avoid mixing languages.

Use the following Arabic technical terminology when relevant:
- internet = الإنترنت

Text:
يساعد VPN على إنشاء اتصال آمن à travers Internet.",VPN يسمح بإنشاء اتصال آمن عبر الشبكة.
122,Databases,fr,La clause WHERE permet de filtrer les résultats d'une requête.,La clause WHERE permet de filtrer les résultats d'une requête.,requête=استعلام,"Rewrite the following IT explanation in simple, clear, correct Arabic for Moroccan learners. Preserve the meaning and avoid mixing languages.

Use the following Arabic technical terminology when relevant:
- requête = استعلام

Text:
La clause WHERE permet de filtrer les résultats d'une requête.",جملة WHERE تسمح بتصفية النتائج حسب شرط معين.
121,Databases,fr,Une requête SELECT permet d'extraire des données spécifiques d'une table.,Une requête SELECT permet d'extraire des données spécifiques d'une table.,table=جدول | requête=استعلام,"Rewrite the following IT explanation in simple, clear, correct Arabic for Moroccan learners. Preserve the meaning and avoid mixing languages.

Use the following Arabic technical terminology when relevant:
- table = جدول
- requête = استعلام

Text:
Une requête SELECT permet d'extraire des données spécifiques d'une table.",استعلام SELECT يُستخدم لاستخراج بيانات محددة من جدول.
103,Networking,ar,يُستخدم NAT لترجمة عناوين الشبكة بين الشبكات المختلفة.,يُستخدم NAT لترجمة عناوين réseau بين الشبكات المختلفة.,réseau=شبكة,"Rewrite the following IT explanation in simple, clear, correct Arabic for Moroccan learners. Preserve the meaning and avoid mixing languages.

Use the following Arabic technical terminology when relevant:
- réseau = شبكة

Text:
يُستخدم NAT لترجمة عناوين réseau بين الشبكات المختلفة.",NAT يسمح بتحويل عناوين IP بين الشبكات.
75,Cloud Computing Fundamentals,ar,تُستخدم الخدمات السحابية لتشغيل التطبيقات دون الحاجة إلى إدارة الخوادم.,تُستخدم الخدمات السحابية لتشغيل التطبيقات دون الحاجة إلى إدارة الخوادم.,,"Rewrite the following IT explanation in simple, clear, correct Arabic for Moroccan learners. Preserve the meaning and avoid mixing languages.

Text:
تُستخدم الخدمات السحابية لتشغيل التطبيقات دون الحاجة إلى إدارة الخوادم.",الخدمات السحابية تسمح بتشغيل البرامج دون إدارة الخوادم مباشرة.
4,Programming Fundamentals,fr,Une fonction est un ensemble d'instructions regroupées pour accomplir une tâche spécifique et pouvant être réutilisées.,Une fonction est un ensemble d'instructions regroupées pour accomplir une tâche spécifique et pouvant être réutilisées.,fonction=دالة,"Rewrite the following IT explanation in simple, clear, correct Arabic for Moroccan learners. Preserve the meaning and avoid mixing languages.

Use the following Arabic technical terminology when relevant:
- fonction = دالة

Text:
Une fonction est un ensemble d'instructions regroupées pour accomplir une tâche spécifique et pouvant être réutilisées.",الدالة هي مجموعة أوامر تقوم بمهمة محددة، ويمكن استعمالها أكثر من مرة.
61,Networking,fr,Un réseau local relie plusieurs ordinateurs dans une zone géographique limitée.,Un réseau local relie plusieurs ordinateurs dans une zone géographique limitée.,réseau=شبكة,"Rewrite the following IT explanation in simple, clear, correct Arabic for Moroccan learners. Preserve the meaning and avoid mixing languages.

Use the following Arabic technical terminology when relevant:
- réseau = شبكة

Text:
Un réseau local relie plusieurs ordinateurs dans une zone géographique limitée.",الشبكة المحلية تربط عدة حواسيب داخل مكان صغير مثل شركة أو مدرسة.
29,Networking,ar,يُعد بروتوكول TCP مسؤولًا عن نقل البيانات بشكل موثوق بين الأجهزة المتصلة بالشبكة.,يُعد بروتوكول TCP مسؤولًا عن نقل données بشكل موثوق بين الأجهزة المتصلة بالشبكة.,,"Rewrite the following IT explanation in simple, clear, correct Arabic for Moroccan learners. Preserve the meaning and avoid mixing languages.

Text:
يُعد بروتوكول TCP مسؤولًا عن نقل données بشكل موثوق بين الأجهزة المتصلة بالشبكة.",بروتوكول TCP يساعد على إرسال البيانات بشكل صحيح وموثوق بين الأجهزة.
74,Cloud Computing Fundamentals,fr,Les conteneurs permettent d'exécuter les applications dans des environnements isolés.,Les conteneurs permettent d'exécuter les applications dans des environnements isolés.,conteneur=حاوية,"Rewrite the following IT explanation in simple, clear, correct Arabic for Moroccan learners. Preserve the meaning and avoid mixing languages.

Use the following Arabic technical terminology when relevant:
- conteneur = حاوية

Text:
Les conteneurs permettent d'exécuter les applications dans des environnements isolés.",الحاويات تسمح بتشغيل التطبيقات داخل بيئات منفصلة.
80,Algorithms,ar,يُستخدم الطابور لمعالجة العناصر حسب ترتيب وصولها.,يُستخدم الطابور لمعالجة العناصر حسب ترتيب وصولها.,,"Rewrite the following IT explanation in simple, clear, correct Arabic for Moroccan learners. Preserve the meaning and avoid mixing languages.

Text:
يُستخدم الطابور لمعالجة العناصر حسب ترتيب وصولها.",الطابور يعالج العناصر حسب ترتيب دخولها.
88,Cybersecurity Basics,ar,تساعد التحديثات الأمنية على إصلاح الثغرات في البرامج.,تساعد التحديثات الأمنية على إصلاح الثغرات في البرامج.,,"Rewrite the following IT explanation in simple, clear, correct Arabic for Moroccan learners. Preserve the meaning and avoid mixing languages.

Text:
تساعد التحديثات الأمنية على إصلاح الثغرات في البرامج.",التحديثات الأمنية تصلح الثغرات وتحسن أمان النظام.
114,Cloud Computing Fundamentals,fr,Les microservices divisent une application en petits services indépendants.,Les microservices divisent une application en petits services indépendants.,microservice=خدمة مصغرة,"Rewrite the following IT explanation in simple, clear, correct Arabic for Moroccan learners. Preserve the meaning and avoid mixing languages.

Use the following Arabic technical terminology when relevant:
- microservice = خدمة مصغرة

Text:
Les microservices divisent une application en petits services indépendants.",الميكروسيرفس تقسم التطبيق إلى خدمات صغيرة مستقلة.
20,Databases,ar,يسمح الربط بين الجداول باسترجاع بيانات مرتبطة من أكثر من جدول داخل نفس الاستعلام.,يسمح الربط بين الجداول باسترجاع بيانات مرتبطة من أكثر من جدول داخل نفس الاستعلام.,table=جدول,"Rewrite the following IT explanation in simple, clear, correct Arabic for Moroccan learners. Preserve the meaning and avoid mixing languages.

Use the following Arabic technical terminology when relevant:
- table = جدول

Text:
يسمح الربط بين الجداول باسترجاع بيانات مرتبطة من أكثر من جدول داخل نفس الاستعلام.",الربط بين الجداول يسمح بجلب معلومات من عدة جداول مرتبطة في طلب واحد.
