id,topic,source_lang,original_text,simplified_arabic,keywords,difficulty
136,Software Engineering,fr,"Un backlog contient la liste des tâches à réaliser dans un projet.","الـ backlog يحتوي على قائمة المهام التي يجب تنفيذها في المشروع.","agile|backlog|project",medium
137,Software Engineering,fr,"Un sprint est une période courte durant laquelle l'équipe développe des fonctionnalités.","الـ sprint فترة قصيرة يعمل فيها الفريق على تطوير ميزات جديدة.","agile|sprint|development",medium
138,Software Engineering,ar,"تساعد نماذج التصميم على حل المشاكل البرمجية المتكررة.","أنماط التصميم تقدم حلولًا جاهزة لمشاكل البرمجة الشائعة.","design patterns|software|architecture",medium
139,Software Engineering,fr,"Une architecture logicielle définit l'organisation générale d'un système.","العمارة البرمجية تحدد البنية العامة للنظام.","software architecture|system|design",medium
140,Software Engineering,ar,"يساعد الاختبار الآلي على اكتشاف الأخطاء بسرعة.","الاختبار الآلي يسمح باكتشاف الأخطاء دون تدخل يدوي.","automated testing|software|quality",medium
141,Cloud Computing Fundamentals,fr,"Un cluster est un groupe de serveurs travaillant ensemble.","الـ cluster هو مجموعة خوادم تعمل معًا.","cluster|cloud|servers",medium
142,Cloud Computing Fundamentals,fr,"Un service cloud géré est administré par le fournisseur.","الخدمة السحابية المُدارة يديرها مزود الخدمة.","managed service|cloud|provider",medium
143,Cloud Computing Fundamentals,ar,"تساعد الحوسبة بدون خادم على تشغيل الكود دون إدارة الخوادم.","الحوسبة بدون خادم تسمح بتشغيل الكود دون إدارة البنية التحتية.","serverless|cloud|functions",medium
144,Cloud Computing Fundamentals,fr,"Un CDN distribue le contenu عبر عدة خوادم.","شبكة توزيع المحتوى توزع البيانات عبر خوادم متعددة.","CDN|content delivery|cloud",medium
145,Cloud Computing Fundamentals,ar,"يساعد التخزين الموزع على حفظ البيانات في عدة مواقع.","التخزين الموزع يحفظ البيانات عبر عدة خوادم.","distributed storage|cloud|data",medium
146,Algorithms,fr,"Un arbre binaire est une structure de données composée de nœuds.","الشجرة الثنائية هي هيكل بيانات يتكون من عقد.","binary tree|data structure|algorithm",medium
147,Algorithms,fr,"Le tri rapide divise la liste en sous-parties plus petites.","الفرز السريع يقسم القائمة إلى أجزاء أصغر.","quick sort|algorithm|sorting",medium
148,Algorithms,ar,"تساعد خوارزميات البحث على إيجاد عنصر داخل البيانات.","خوارزميات البحث تُستخدم للعثور على عنصر داخل مجموعة بيانات.","search algorithm|data|algorithm",easy
149,Algorithms,fr,"La programmation dynamique résout un problème en sous-problèmes.","البرمجة الديناميكية تحل المشكلة عبر تقسيمها إلى مشاكل أصغر.","dynamic programming|algorithm|optimization",hard
150,Algorithms,ar,"يساعد تحليل الخوارزميات على فهم أدائها.","تحليل الخوارزميات يدرس كفاءة الخوارزمية من حيث الوقت والذاكرة.","algorithm analysis|complexity|performance",medium
